,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,ppi
0,Apple,Ultrabook,Intel Core i5,8,Intel Iris, Mac OS,1.37,148093,0,1,227
1,Apple,Ultrabook,Intel Core i5,8,Intel HD, Mac OS,1.34,99318,0,0,128
2,HP,Notebook,Intel Core i5,8,Intel HD,No OS,1.86,63595,0,0,141
3,Apple,Ultrabook,Intel Core i7,16,AMD Radeon, Mac OS,1.83,280592,0,1,221
4,Apple,Ultrabook,Intel Core i5,8,Intel Iris, Mac OS,1.37,199411,0,1,227
5,Acer,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.1,44240,0,0,100
6,Apple,Ultrabook,Intel Core i7,16,Intel Iris, Mac OS,2.04,236573,0,1,221
7,Apple,Ultrabook,Intel Core i5,8,Intel HD, Mac OS,1.34,128074,0,0,128
8,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.3,165347,0,0,157
9,Acer,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,85162,0,1,157
10,HP,Notebook,Intel Core i5,4,Intel HD,No OS,1.86,43465,0,0,100
11,HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,38046,0,0,141
12,Apple,Ultrabook,Intel Core i7,16,AMD Radeon, Mac OS,1.83,269753,0,1,221
13,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,55078,0,0,141
14,Apple,Ultrabook,Other Intel Processor,8,Intel HD, Mac OS,0.92,139577,0,1,226
15,Apple,Ultrabook,Intel Core i5,8,Intel Iris, Mac OS,1.37,167890,0,1,227
16,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,82397,0,0,141
17,Apple,Ultrabook,Intel Core i7,16,AMD Radeon, Mac OS,1.83,316094,0,1,221
18,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,55189,0,0,141
19,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.22,108277,1,1,166
20,Asus,Netbook,Other Intel Processor,2,Intel HD,Windows 10,0.98,21124,0,0,135
21,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,110489,0,1,141
22,HP,Notebook,AMD-E-Series,4,AMD Radeon,No OS,1.86,28534,0,0,100
23,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.62,90581,1,0,166
24,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.91,72885,0,0,141
25,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.3,46230,0,0,100
26,Apple,Ultrabook,Intel Core i5,8,Intel HD, Mac OS,1.35,121549,0,0,128
27,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,88480,0,0,141
28,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.88,143558,0,0,141
29,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,99097,0,0,127
30,Chuwi,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.89,26986,0,0,141
31,Asus,Notebook,AMD-E-Series,2,AMD Radeon,Windows 10,1.65,22009,0,0,112
32,HP,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.71,48553,0,0,127
33,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.2,206711,1,0,276
34,Apple,Ultrabook,Intel Core i5,8,Intel HD, Mac OS,1.35,110378,0,0,128
35,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,27539,0,0,112
36,Acer,Notebook,Intel Core i3,4,Intel HD,Other Os_system,2.1,40590,0,0,100
37,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.8,108277,0,1,127
38,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.86,53972,0,0,100
39,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.1,97217,0,0,141
40,Asus,Notebook,Intel Core i3,4,Intel HD,Other Os_system,2,43023,0,0,141
41,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,165789,0,1,141
42,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Other Os_system,2.3,57733,0,0,100
43,Acer,Notebook,Intel Core i5,4,Intel UHD,Windows 10,2.2,75429,0,1,141
44,Dell,2 in 1 Convertible,Intel Core i5,12,Nvidia GeForce,Windows 10,2.77,110489,1,0,127
45,Apple,Ultrabook,Intel Core i5,8,Intel Iris, Mac OS,1.37,156941,0,1,227
46,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,40811,0,0,100
47,Asus,Gaming,AMD-Rysen-Series,8,AMD Radeon,Windows 10,3.2,143669,0,0,127
48,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.3,70673,0,0,141
49,Asus,Notebook,Other Intel Processor,4,Nvidia GeForce,Windows 10,2.8,51539,0,0,91
50,Lenovo,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Other Os_system,0.69,35281,1,1,224
51,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,93014,0,1,141
52,HP,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,1.86,44018,0,0,141
53,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.49,121991,0,0,166
54,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.4,42470,0,0,100
55,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.13,84830,0,0,141
56,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.91,48553,0,0,141
57,Asus,Notebook,Intel Core i5,4,Intel HD,Windows 10,2,64811,0,0,100
58,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.43,270859,0,0,127
59,Asus,Notebook,Intel Core i3,4,Intel HD,Other Os_system,2,45899,0,0,141
60,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,143669,0,0,127
61,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.7,97217,0,0,157
62,Lenovo,Notebook,Intel Core i3,8,Intel HD,No OS,1.7,66249,0,1,157
63,Asus,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.4,104074,0,0,157
64,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.86,76314,0,0,141
65,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,219319,0,0,141
66,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,1.86,48442,0,0,100
67,HP,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,25327,0,0,112
